StudentID,Name,Age,Electronics,Programming,Database,DataScience,Mathematics,DSA
1,Student_1,20,79,96,70,93,58,55
2,Student_2,24,65,67,43,70,82,42
3,Student_3,21,73,45,97,48,86,45
4,Student_4,20,87,76,64,77,99,48
5,Student_5,23,69,88,74,75,67,99
6,Student_6,21,51,50,79,50,73,91
7,Student_7,23,68,67,70,81,65,44
8,Student_8,21,80,55,43,90,61,71
9,Student_9,20,100,68,65,81,60,97
10,Student_10,20,79,70,48,76,62,78
11,Student_11,22,81,82,75,53,50,57
12,Student_12,23,50,95,78,87,85,49
13,Student_13,25,59,97,88,63,76,75
14,Student_14,20,68,55,69,84,77,55
15,Student_15,21,90,44,84,72,92,80
16,Student_16,25,53,69,79,48,54,61
17,Student_17,21,42,45,49,82,40,62
18,Student_18,24,64,72,76,74,61,51
19,Student_19,24,49,98,47,50,96,67
20,Student_20,25,40,92,51,96,64,50
21,Student_21,23,49,69,76,45,88,54
22,Student_22,25,87,49,51,77,78,40
23,Student_23,21,55,87,47,65,90,94
24,Student_24,25,100,82,98,96,53,71
25,Student_25,18,71,56,82,83,94,98
26,Student_26,22,73,98,67,42,41,55
27,Student_27,21,83,61,97,78,70,86
28,Student_28,22,41,80,44,42,96,46
29,Student_29,18,66,53,94,87,58,88
30,Student_30,19,58,94,94,50,58,91
31,Student_31,20,71,61,57,93,82,93
32,Student_32,21,98,55,97,98,85,54
33,Student_33,20,66,94,50,58,86,97
34,Student_34,19,98,83,85,94,80,97
35,Student_35,23,44,82,68,100,87,99
36,Student_36,22,78,57,69,73,64,93
37,Student_37,22,42,86,73,59,61,76
38,Student_38,24,79,76,80,97,44,82
39,Student_39,21,77,82,57,97,90,76
40,Student_40,20,87,50,68,85,98,95
41,Student_41,18,92,90,87,74,45,62
42,Student_42,19,76,67,80,40,91,43
43,Student_43,23,93,50,67,67,49,80
44,Student_44,19,97,44,87,87,48,41
45,Student_45,19,62,55,62,71,51,47
46,Student_46,22,42,51,82,80,82,94
47,Student_47,19,94,55,72,47,84,67
48,Student_48,24,60,98,44,91,93,54
49,Student_49,18,50,60,74,47,85,79
50,Student_50,25,91,86,60,77,49,46
51,Student_51,19,58,64,83,76,92,65
52,Student_52,18,40,93,67,91,65,45
53,Student_53,19,96,90,97,67,73,64
54,Student_54,25,84,56,51,80,79,75
55,Student_55,25,61,41,93,78,97,46
56,Student_56,18,94,50,62,83,46,62
57,Student_57,20,79,88,67,64,95,83
58,Student_58,24,63,60,48,89,66,58
59,Student_59,24,89,97,92,42,77,77
60,Student_60,20,78,64,79,69,83,43
61,Student_61,24,75,65,48,62,43,87
62,Student_62,25,68,60,42,75,99,77
63,Student_63,23,46,53,46,85,65,85
64,Student_64,25,92,52,44,47,75,42
65,Student_65,20,52,63,68,74,69,99
66,Student_66,20,52,87,41,74,58,93
67,Student_67,20,63,60,41,43,83,68
68,Student_68,22,57,83,50,87,79,88
69,Student_69,25,74,61,84,90,44,67
70,Student_70,19,76,96,89,67,51,93
71,Student_71,25,64,91,75,82,73,74
72,Student_72,24,95,100,64,97,81,77
73,Student_73,24,56,61,65,92,63,43
74,Student_74,21,66,61,99,70,63,54
75,Student_75,24,52,46,66,55,47,48
76,Student_76,23,70,80,53,69,73,51
77,Student_77,21,73,96,76,72,88,62
78,Student_78,21,76,95,68,46,57,83
79,Student_79,19,81,52,60,89,84,64
80,Student_80,19,100,53,42,86,55,78
81,Student_81,24,42,88,43,42,45,76
82,Student_82,19,69,69,94,47,91,92
83,Student_83,22,40,57,74,80,73,64
84,Student_84,25,69,55,86,93,96,50
85,Student_85,19,73,94,55,44,43,74
86,Student_86,25,52,70,91,83,100,53
87,Student_87,19,53,90,41,48,95,67
88,Student_88,21,81,63,63,47,87,68
89,Student_89,21,55,53,56,99,67,85
90,Student_90,21,54,68,57,41,76,92
91,Student_91,19,91,51,55,47,99,74
92,Student_92,24,73,70,92,55,65,47
93,Student_93,19,100,48,80,55,47,54
94,Student_94,23,59,53,49,78,48,88
95,Student_95,25,44,79,94,92,73,76
96,Student_96,18,100,81,87,62,82,67
97,Student_97,23,95,43,80,46,65,83
98,Student_98,18,51,82,92,91,80,92
99,Student_99,25,62,85,58,80,65,69
100,Student_100,23,56,98,100,86,44,70
101,Student_101,23,80,85,49,55,40,49
102,Student_102,19,54,95,70,68,48,66
103,Student_103,22,49,60,80,54,67,57
104,Student_104,21,55,44,69,54,64,58
105,Student_105,21,84,83,87,69,99,76
106,Student_106,19,89,41,77,83,66,68
107,Student_107,19,92,44,86,43,73,88
108,Student_108,23,89,73,99,95,42,92
109,Student_109,22,74,49,42,82,82,96
110,Student_110,23,66,58,76,52,64,49
111,Student_111,22,62,58,96,47,73,82
112,Student_112,20,83,99,73,85,93,73
113,Student_113,21,66,77,90,54,65,55
114,Student_114,18,44,74,73,57,58,70
115,Student_115,18,48,88,61,58,86,72
116,Student_116,18,50,85,44,53,97,67
117,Student_117,24,48,51,49,91,92,70
118,Student_118,25,82,83,50,85,65,64
119,Student_119,19,93,53,62,56,72,81
120,Student_120,21,89,79,71,71,80,99
121,Student_121,25,67,80,93,48,53,68
122,Student_122,20,55,51,42,76,71,81
123,Student_123,18,70,96,69,50,79,73
124,Student_124,23,86,69,98,96,50,49
125,Student_125,21,58,76,54,77,82,96
126,Student_126,21,71,51,66,59,44,96
127,Student_127,23,96,82,83,64,66,94
128,Student_128,19,73,98,66,52,74,40
129,Student_129,23,51,76,59,53,41,65
130,Student_130,18,50,56,46,81,95,74
131,Student_131,22,75,74,66,53,51,76
132,Student_132,19,46,63,41,41,44,63
133,Student_133,21,48,87,98,80,51,50
134,Student_134,24,45,81,77,94,94,79
135,Student_135,25,60,65,61,63,61,94
136,Student_136,21,52,88,97,51,81,100
137,Student_137,18,41,51,50,64,76,99
138,Student_138,23,86,45,68,85,57,46
139,Student_139,21,61,70,77,50,81,71
140,Student_140,25,93,91,71,64,77,82
141,Student_141,22,70,62,63,96,92,80
142,Student_142,21,50,49,44,93,59,76
143,Student_143,21,41,99,55,60,69,95
144,Student_144,25,100,84,61,53,92,93
145,Student_145,22,100,53,57,50,64,95
146,Student_146,19,94,93,56,85,51,68
147,Student_147,20,51,96,91,83,78,71
148,Student_148,19,73,65,51,70,41,61
149,Student_149,19,74,43,98,61,49,75
150,Student_150,24,62,51,94,85,62,60
151,Student_151,23,97,58,51,41,58,41
152,Student_152,22,57,97,83,100,59,61
153,Student_153,20,94,60,58,98,67,90
154,Student_154,22,99,59,43,83,96,94
155,Student_155,19,99,66,92,80,79,97
156,Student_156,23,75,82,57,86,74,49
157,Student_157,18,48,64,73,59,83,75
158,Student_158,23,64,94,59,88,48,51
159,Student_159,23,68,46,50,76,76,50
160,Student_160,18,80,41,69,59,72,96
161,Student_161,18,51,42,42,45,60,51
162,Student_162,25,92,100,48,77,58,61
163,Student_163,23,97,43,78,62,81,83
164,Student_164,19,55,91,52,68,83,44
165,Student_165,20,56,65,60,52,50,60
166,Student_166,19,98,86,56,69,66,58
167,Student_167,18,100,85,60,79,69,100
168,Student_168,19,82,44,65,93,59,64
169,Student_169,21,70,99,75,77,53,56
170,Student_170,25,53,83,49,53,64,93
171,Student_171,21,40,55,85,51,50,69
172,Student_172,24,51,48,71,79,41,86
173,Student_173,22,75,87,97,55,51,65
174,Student_174,23,86,64,64,84,72,82
175,Student_175,19,82,50,58,68,64,56
176,Student_176,21,65,62,69,92,70,42
177,Student_177,24,82,67,64,41,64,89
178,Student_178,21,47,95,61,100,56,84
179,Student_179,18,50,87,59,88,45,57
180,Student_180,22,77,60,59,65,88,54
181,Student_181,23,69,48,74,78,69,72
182,Student_182,23,83,85,52,61,90,64
183,Student_183,18,48,67,55,52,58,85
184,Student_184,20,82,70,83,100,59,89
185,Student_185,24,56,80,42,74,57,65
186,Student_186,21,70,59,80,83,75,77
187,Student_187,19,58,89,56,46,51,63
188,Student_188,18,90,89,94,87,51,57
189,Student_189,19,61,63,63,62,83,48
190,Student_190,20,48,57,69,69,51,90
191,Student_191,22,93,73,93,59,67,99
192,Student_192,23,49,100,49,62,45,49
193,Student_193,21,98,93,69,83,90,60
194,Student_194,21,78,77,68,89,92,56
195,Student_195,25,83,79,47,98,68,69
196,Student_196,25,42,67,91,84,69,43
197,Student_197,19,88,63,47,97,55,80
198,Student_198,19,54,88,44,63,95,56
199,Student_199,22,71,93,98,67,69,74
200,Student_200,22,66,61,98,48,72,57
201,Student_201,18,57,97,53,47,50,95
202,Student_202,23,47,90,79,91,60,51
203,Student_203,18,40,40,100,50,88,58
204,Student_204,19,55,45,93,41,50,88
205,Student_205,25,55,57,43,66,83,88
206,Student_206,23,76,54,94,57,56,98
207,Student_207,25,40,91,82,51,62,86
208,Student_208,24,58,73,61,86,41,57
209,Student_209,21,75,94,88,79,42,83
210,Student_210,21,75,42,88,73,50,41
211,Student_211,18,92,49,75,67,77,48
212,Student_212,23,71,78,100,72,83,56
213,Student_213,25,85,93,42,48,98,76
214,Student_214,18,88,41,49,98,79,57
215,Student_215,20,52,80,48,40,87,78
216,Student_216,25,95,63,84,97,47,60
217,Student_217,21,98,97,81,80,44,75
218,Student_218,24,59,54,91,89,60,85
219,Student_219,24,65,82,53,89,68,63
220,Student_220,19,45,94,90,61,80,48
221,Student_221,23,52,79,72,97,43,47
222,Student_222,21,70,81,64,89,57,43
223,Student_223,18,40,76,49,47,46,51
224,Student_224,24,67,71,89,81,58,66
225,Student_225,21,91,48,43,93,83,71
226,Student_226,19,99,40,68,86,77,60
227,Student_227,19,54,41,92,67,80,62
228,Student_228,21,92,93,60,50,56,98
229,Student_229,20,51,67,65,52,99,81
230,Student_230,19,94,86,86,45,77,52
231,Student_231,19,97,63,92,69,80,87
232,Student_232,18,92,46,75,68,99,41
233,Student_233,18,61,93,99,87,68,82
234,Student_234,21,56,94,41,42,64,65
235,Student_235,20,90,95,57,41,64,77
236,Student_236,21,81,79,48,55,55,69
237,Student_237,18,61,52,53,47,96,97
238,Student_238,24,81,100,50,61,44,87
239,Student_239,19,79,65,62,42,53,96
240,Student_240,21,92,47,70,73,41,82
241,Student_241,18,76,46,75,48,65,48
242,Student_242,20,58,74,96,57,53,80
243,Student_243,19,42,68,58,99,51,89
244,Student_244,25,56,95,69,86,52,82
245,Student_245,23,98,74,52,49,50,44
246,Student_246,24,47,97,53,40,58,67
247,Student_247,18,59,63,68,53,69,41
248,Student_248,21,89,92,61,88,54,84
249,Student_249,21,90,61,100,77,94,79
250,Student_250,22,95,100,73,68,73,78
251,Student_251,24,58,82,87,59,69,44
252,Student_252,24,91,62,53,57,77,52
253,Student_253,24,60,69,48,60,62,56
254,Student_254,18,83,98,71,58,68,91
255,Student_255,21,55,40,61,79,47,71
256,Student_256,22,86,87,61,53,94,47
257,Student_257,19,71,60,82,78,79,100
258,Student_258,24,58,80,70,40,61,74
259,Student_259,25,99,71,59,100,82,79
260,Student_260,19,88,95,49,66,85,76
261,Student_261,23,99,85,91,91,78,41
262,Student_262,25,69,45,95,45,89,54
263,Student_263,20,86,63,65,45,82,93
264,Student_264,19,83,92,83,72,67,60
265,Student_265,23,49,45,81,74,81,82
266,Student_266,22,78,43,77,86,96,94
267,Student_267,21,91,80,71,43,82,53
268,Student_268,18,51,52,82,72,78,57
269,Student_269,20,77,54,92,78,53,69
270,Student_270,23,92,55,50,48,86,83
271,Student_271,24,87,59,85,54,100,100
272,Student_272,25,78,57,46,57,76,61
273,Student_273,24,98,54,57,41,51,51
274,Student_274,24,74,87,76,96,55,56
275,Student_275,24,56,45,99,65,55,61
276,Student_276,24,85,80,99,66,95,93
277,Student_277,24,41,57,86,89,60,60
278,Student_278,25,90,69,88,86,41,44
279,Student_279,19,68,46,98,77,45,94
280,Student_280,25,74,60,87,61,68,70
281,Student_281,20,52,46,80,92,80,44
282,Student_282,22,73,96,64,73,71,57
283,Student_283,20,48,74,55,85,96,49
284,Student_284,23,94,92,73,53,63,48
285,Student_285,18,47,71,98,86,44,45
286,Student_286,22,97,49,95,69,81,78
287,Student_287,25,54,56,42,48,54,93
288,Student_288,19,65,40,85,46,87,99
289,Student_289,22,49,93,48,49,56,83
290,Student_290,24,59,43,71,54,43,75
291,Student_291,21,47,55,86,79,67,53
292,Student_292,24,65,47,74,86,55,89
293,Student_293,22,74,90,52,85,67,82
294,Student_294,24,94,95,83,93,64,51
295,Student_295,25,80,98,71,87,48,60
296,Student_296,20,78,58,51,66,64,91
297,Student_297,18,62,41,67,76,85,75
298,Student_298,18,96,46,73,59,88,86
299,Student_299,24,91,67,53,72,88,62
300,Student_300,22,50,99,75,89,69,58
301,Student_301,18,77,94,71,78,94,61
302,Student_302,18,79,69,65,82,56,45
303,Student_303,19,65,69,78,40,62,85
304,Student_304,20,62,90,96,60,69,46
305,Student_305,24,40,48,96,76,76,63
306,Student_306,24,83,44,48,75,63,99
307,Student_307,24,75,81,65,85,59,57
308,Student_308,19,76,94,54,89,77,63
309,Student_309,19,82,41,61,57,78,93
310,Student_310,19,87,59,74,52,99,57
311,Student_311,21,68,75,65,63,89,81
312,Student_312,25,59,86,61,53,75,84
313,Student_313,18,97,75,84,82,87,56
314,Student_314,20,72,75,78,53,89,90
315,Student_315,18,96,62,59,74,74,96
316,Student_316,23,92,70,40,45,80,88
317,Student_317,24,46,92,62,67,62,82
318,Student_318,19,52,69,64,53,55,59
319,Student_319,24,94,90,59,80,99,56
320,Student_320,25,61,63,56,48,95,50
321,Student_321,23,83,89,53,76,72,51
322,Student_322,21,51,71,40,91,76,52
323,Student_323,22,94,65,75,68,61,62
324,Student_324,18,58,61,73,96,45,73
325,Student_325,24,89,53,61,74,84,49
326,Student_326,19,61,44,66,54,96,95
327,Student_327,25,41,98,68,67,44,71
328,Student_328,18,62,75,56,46,94,81
329,Student_329,25,65,86,90,93,75,79
330,Student_330,19,67,65,49,94,77,69
331,Student_331,24,41,81,92,67,53,88
332,Student_332,19,64,71,62,55,41,73
333,Student_333,22,74,63,95,41,84,40
334,Student_334,23,66,73,61,42,75,56
335,Student_335,22,66,74,68,79,65,56
336,Student_336,21,91,72,75,59,74,92
337,Student_337,23,84,98,61,50,57,57
338,Student_338,24,96,44,49,66,63,86
339,Student_339,22,74,81,53,65,63,64
340,Student_340,24,74,95,69,70,46,70
341,Student_341,22,97,57,81,65,47,57
342,Student_342,24,45,87,68,80,49,80
343,Student_343,25,94,72,93,96,63,62
344,Student_344,20,54,45,86,59,74,65
345,Student_345,25,83,60,66,78,100,94
346,Student_346,20,70,75,53,45,59,67
347,Student_347,24,78,61,51,78,96,98
348,Student_348,25,62,69,64,40,57,42
349,Student_349,18,97,99,67,69,42,82
350,Student_350,22,73,65,61,86,77,47
351,Student_351,18,74,56,48,59,44,51
352,Student_352,20,95,99,75,100,77,89
353,Student_353,18,48,73,73,79,97,74
354,Student_354,20,69,62,87,77,44,59
355,Student_355,22,91,66,58,40,82,76
356,Student_356,24,56,80,53,71,58,73
357,Student_357,19,63,51,66,40,50,52
358,Student_358,23,62,60,75,50,83,75
359,Student_359,23,98,75,85,73,94,41
360,Student_360,23,91,42,99,82,57,94
361,Student_361,19,60,40,66,99,99,84
362,Student_362,18,42,63,94,41,80,47
363,Student_363,20,41,57,70,81,49,96
364,Student_364,23,74,41,41,95,59,42
